id,name,category,speedup,techniques,description,reference_urls,source_url
class-group,Class Group,Algebraic and Number Theoretic Algorithms,Superpolynomial,,"The number field \( \mathbb{Q}(\theta) \) is said to be of degree d if the lowest degree polynomial of which \( \theta \) is a root has degree d . The set \( \mathcal{O} \) of elements of \( \mathbb{Q}(\theta) \) which are roots of monic polynomials in \( \mathbb{Z}[x] \) forms a ring, called the ring of integers of \( \mathbb{Q}(\theta) \), which is a Dedekind domain. For a Dedekind domain, the nonzero fractional ideals modulo the nonzero principal ideals form a group called the class group. As shown by Hallgren [ 50 ], a quantum computer can find a set of generators for the class group of the ring of integers of any constant degree number field, given a description of \( \theta \), in time poly(log(\( | \mathcal{O} | \))). An improved quantum algorithm, whose runtime is also polynomial in d was subsequently given in [ 329 ]. No polynomial time classical algorithm for these problems are known. See also Abelian hidden subgroup .",,https://quantumalgorithmzoo.org/
decoding,Decoding,Algebraic and Number Theoretic Algorithms,Varies,,"Classical error correcting codes allow the detection and correction of bit-flips by storing data redundantly. Maximum-likelihood decoding for arbitrary linear codes is NP-complete in the worst case, but for structured codes or bounded error efficient decoding algorithms are known. Quantum algorithms have been formulated to speed up the decoding of convolutional codes [ 238 ] and simplex codes [ 239 ].",,https://quantumalgorithmzoo.org/
discrete-log,Discrete-log,Algebraic and Number Theoretic Algorithms,Superpolynomial,,"We are given three n -bit numbers a , b , and N , with the promise that \( b = a^s \mod N \) for some s . The task is to find s . As shown by Shor [ 82 ], this can be achieved on a quantum computer in poly( n ) time. The fastest known classical algorithm requires time superpolynomial in n . By similar techniques to those in [ 82 ], quantum computers can solve the discrete logarithm problem on elliptic curves, thereby breaking elliptic curve cryptography [ 109 , 14 ]. Further optimizations to Shor's algorithm are given in [ 385 , 432 ]. The superpolynomial quantum speedup has also been extended to the discrete logarithm problem on semigroups [ 203 , 204 ]. See also Abelian hidden subgroup .",https://short.classiq.io/discrete_log; https://github.com/diehoq/quantum-elliptic-curve-logarithm,https://quantumalgorithmzoo.org/
factoring,Factoring,Algebraic and Number Theoretic Algorithms,Superpolynomial,grover search,"Given an n -bit integer, find the prime factorization. The quantum algorithm of Peter Shor solves this in \( \widetilde{O} (n^3) \) time [ 82 , 125 ]. The fastest known classical algorithm for integer factorization is the general number field sieve, which is believed to run in time \( 2^{\widetilde{O}(n^{1/3})} \). The best rigorously proven upper bound on the classical complexity of factoring is \( O(2^{n/5+o(1)}) \) from [ 542 ], improving upon [ 252 , 362 ]. Shor's factoring algorithm breaks RSA public-key encryption and the closely related quantum algorithms for discrete logarithms break the DSA and ECDSA digital signature schemes and the Diffie-Hellman key-exchange protocol. A quantum algorithm even faster than Shor's for the special case of factoring “semiprimes”, which are widely used in cryptography, is given in [ 271 ]. If small factors exist, Shor's algorithm can be beaten by a quantum algorithm using Grover search to speed up the elliptic curve factorization method [ 366 ]. Additional optimized versions of Shor's algorithm are given in [ 384 , 386 , 431 ]. There are proposed classical public-key cryptosystems not believed to be broken by quantum algorithms, cf. [ 248 ]. At the core of Shor's factoring algorithm is order finding, which can be reduced to the Abelian hidden subgroup problem , which is solved using the quantum Fourier transform. A number of other problems are known to reduce to integer factorization including the membership problem for matrix groups over fields of odd order [ 253 ], and certain Diophantine problems relevant to the synthesis of quantum circuits [ 254 ].",https://short.classiq.io/shor; https://github.com/quantumlib/Cirq/blob/main/examples/shor.py; https://pennylane.ai/codebook/shors-algorithm; https://qrisp.eu/reference/Algorithms/Shor.html#shor,https://quantumalgorithmzoo.org/
gauss-sums,Gauss Sums,Algebraic and Number Theoretic Algorithms,Superpolynomial,,"Let \( \mathbb{F}_q \) be a finite field. The elements other than zero of \( \mathbb{F}_q \) form a group \( \mathbb{F}_q^\times \) under multiplication, and the elements of \( \mathbb{F}_q \) form an (Abelian but not necessarily cyclic) group \( \mathbb{F}_q^+ \) under addition. We can choose some character \( \chi^\times \) of \( \mathbb{F}_q^\times \) and some character \( \chi^+ \) of \( \mathbb{F}_q^+ \). The corresponding Gauss sum is the inner product of these characters: \( \sum_{x \neq 0 \in \mathbb{F}_q} \chi^+(x) \chi^\times(x) \) As shown by van Dam and Seroussi [ 90 ], Gauss sums can be estimated to polynomial precision on a quantum computer in polynomial time. Although a finite ring does not form a group under multiplication, its set of units does. Choosing a representation for the additive group of the ring, and choosing a representation for the multiplicative group of its units, one can obtain a Gauss sum over the units of a finite ring. These can also be estimated to polynomial precision on a quantum computer in polynomial time [ 90 ]. No polynomial time classical algorithm for estimating Gauss sums is known. Discrete log reduces to Gauss sum estimation [ 90 ]. Certain partition functions of the Potts model can be computed by a polynomial-time quantum algorithm related to Gauss sum estimation [ 47 ].",,https://quantumalgorithmzoo.org/
matrix-elements-and-multiplicity-coefficients-of-group-representations,Matrix Elements and Multiplicity Coefficients of Group Representations,Algebraic and Number Theoretic Algorithms,Superpolynomial,,"All representations of finite groups and compact linear groups can be expressed as unitary matrices given an appropriate choice of basis. Conjugating the regular representation of a group by the quantum Fourier transform circuit over that group yields a direct sum of the group's irreducible representations. Thus, the efficient quantum Fourier transform over the symmetric group [ 196 ], together with the Hadamard test, yields a fast quantum algorithm for additively approximating individual matrix elements of the arbitrary irreducible representations of \( S_n \). Similarly, using the quantum Schur transform [ 197 ], one can efficiently approximate matrix elements of the irreducible representations of SU(n) that have polynomial weight. Direct implementations of individual irreducible representations for the groups U(n), SU(n), SO(n), and \( A_n \) by efficient quantum circuits are given in [ 106 ]. Instances that appear to be exponentially hard for known classical algorithms are also identified in [ 106 ]. Kronecker coefficients count the multiplicity of a given irreducible representation in the tensor product of a given pair of irreducible representations. In [ 460 ] it was shown that normalized Kronecker coefficients of the symmetric group can be approximated to within an additive inverse polynomial error by a polynomial time quantum algorithm, whereas no polynomial time classical algorithm achieving this was known at the time. These quantum speedups were generalized to other multiplicity coefficients of the symmetric group in [ 516 ]. Prompted by these results, the state of the art in classical algorithms for computing Kronecker coefficients and more general multiplicity coefficients was improved in [ 515 ]. Nevertheless, as discussed in [ 516 ], these advances do not eliminate all quantum speedups for approximating multiplicity coefficients.",,https://quantumalgorithmzoo.org/
pell-s-equation,Pell's Equation,Algebraic and Number Theoretic Algorithms,Superpolynomial,,"Given a positive nonsquare integer d , Pell's equation is \( x^2 - d y^2 = 1 \). For any such d there are infinitely many pairs of integers ( x,y ) solving this equation. Let \( (x_1,y_1) \) be the pair that minimizes \( x+y\sqrt{d} \). If d is an n -bit integer ( i.e. \( 0 \leq d \lt 2^n \) ), \( (x_1,y_1) \) may in general require exponentially many bits to write down. Thus it is in general impossible to find \( (x_1,y_1) \) in polynomial time. Let \( R = \log(x_1+y_1 \sqrt{d}) \). \( \lfloor R \rceil \) uniquely identifies \( (x_1,y_1) \). As shown by Hallgren [ 49 ], given a n -bit number d , a quantum computer can find \( \lfloor R \rceil \) in poly( n ) time. No polynomial time classical algorithm for this problem is known. Factoring reduces to this problem. This algorithm breaks the Buchman-Williams cryptosystem. See also Abelian hidden subgroup .",,https://quantumalgorithmzoo.org/
primality-proving,Primality Proving,Algebraic and Number Theoretic Algorithms,Polynomial,,"Given an n -bit number, return a proof of its primality. The fastest classical algorithms are AKS, the best versions of which [ 393 , 394 ] have essentially-quartic complexity, and ECPP, where the heuristic complexity of the fastest version [ 395 ] is also essentially quartic. The fastest known quantum algorithm for this problem is the method of Donis-Vela and Garcia-Escartin [ 396 ], with complexity \( O(n^2 (\log \ n)^3 \log \ \log \ n) \). This improves upon a prior factoring-based quantum algorithm for primality proving [ 397 ] that has complexity \( O(n^3 \log \ n \ \log \ \log \ n) \). A recent result of Harvey and Van Der Hoeven [ 398 ] can be used to improve the complexity of the factoring-based quantum algorithm for primality proving to \( O(n^3 \log n) \) and it may be possible to similarly reduce the complexity of the Donis-Vela-Garcia-Escartin algorithm to \( O(n^2 (\log \ n)^3) \) [ 399 ].",,https://quantumalgorithmzoo.org/
principal-ideal,Principal Ideal,Algebraic and Number Theoretic Algorithms,Superpolynomial,,"We are given an n -bit integer d and an invertible ideal I of the ring \( \mathbb{Z}[\sqrt{d}] \). I is a principal ideal if there exists \( \alpha \in \mathbb{Q}(\sqrt{d}) \) such that \( I = \alpha \mathbb{Z}[\sqrt{d}] \). \( \alpha \) may be exponentially large in d . Therefore \( \alpha \) cannot in general even be written down in polynomial time. However, \( \lfloor \log \alpha \rceil \) uniquely identifies \( \alpha \). The task is to determine whether I is principal and if so find \( \lfloor \log \alpha \rceil \). As shown by Hallgren, this can be done in polynomial time on a quantum computer [ 49 ]. A modified quantum algorithm for this problem using fewer qubits was given in [ 131 ]. A quantum algorithm solving the principal ideal problem in number fields of arbitrary degree ( i.e. scaling polynomially in the degree) was subsequently given in [ 329 ]. Factoring reduces to solving Pell's equation, which reduces to the principal ideal problem. Thus the principal ideal problem is at least as hard as factoring and therefore is probably not in P. See also Abelian hidden subgroup .",,https://quantumalgorithmzoo.org/
quantum-cryptanalysis,Quantum Cryptanalysis,Algebraic and Number Theoretic Algorithms,Various,grover search,"It is well-known that Shor's algorithms for factoring and discrete logarithms [ 82 , 125 ] completely break the RSA and Diffie-Hellman cryptosystems, as well as their elliptic-curve-based variants [ 109 , 14 ]. (A number of ""post-quantum"" public-key cryptosystems have been proposed to replace these primitives, which are not known to be broken by quantum attacks.) Beyond Shor's algorithm, there is a growing body of work on quantum algorithms specifically designed to attack cryptosystems. These generally fall into three categories. The first is quantum algorithms providing polynomial or sub-exponential time attacks on cryptosystems under standard assumptions. In particular, the algorithm of Childs, Jao, and Soukharev for finding isogenies of elliptic curves breaks certain elliptic curve based cryptosystems in subexponential time that were not already broken by Shor's algorithm [ 283 ]. The quantum algorithm of Eldar and Hallgren gives a solution to certain lattice problems [ 537 ] which may be a speedup over classical algorithms provided the parameter regime of the instance is chosen carefully [ 538 ]. A quantum line of attack on multivariate cryptosystems, whose potential advantage over classical attacks remains incompletely understood, is given in [ 539 , 540 , 541 ]. The second category is quantum algorithms achieving polynomial improvement over known classical cryptanalytic attacks by speeding up parts of these classical algorithms using Grover search, quantum collision finding, etc. Such attacks on private-key [ 284 , 285 , 288 , 315 , 316 ] and public-key [ 262 , 287 , 536 ] primitives, do not preclude the use of the associated cryptosystems but may influence choice of key size. The third category is attacks that make use of quantum superposition queries to block ciphers. These attacks in many cases completely break the cryptographic primitives [ 286 , 289 , 290 , 291 , 292 ]. However, in most practical situations such superposition queries are unlikely to be feasible. Oracular Algorithms",,https://quantumalgorithmzoo.org/
